round,stadium,home_team,home_score,away_score,away_team
1.0,Arena Pantanal,Cuiabá,2.0,2.0,Juventude
1.0,Pituaçu,Bahia,3.0,0.0,Santos
1.0,Morumbi,São Paulo,0.0,0.0,Fluminense
1.0,Mineirão,Atlético-MG,1.0,2.0,Fortaleza
1.0,Maracanã,Flamengo,1.0,0.0,Palmeiras
1.0,Castelão (CE),Ceará,3.0,2.0,Grêmio
1.0,Neo Química Arena,Corinthians,0.0,1.0,Atlético-GO
1.0,Arena Condá,Chapecoense,0.0,3.0,Bragantino
1.0,Ligga Arena,Athletico-PR,1.0,0.0,América-MG
1.0,Beira-Rio,Internacional,2.0,2.0,Sport
2.0,Antônio Accioly,Atlético-GO,2.0,0.0,São Paulo
2.0,Vila Belmiro,Santos,3.0,1.0,Ceará
2.0,Nabi Abi Chedid,Bragantino,3.0,3.0,Bahia
2.0,São Januário,Fluminense,1.0,0.0,Cuiabá
2.0,Independência,América-MG,0.0,1.0,Corinthians
2.0,Castelão (CE),Fortaleza,5.0,1.0,Internacional
2.0,Allianz Parque,Palmeiras,3.0,1.0,Chapecoense
2.0,Alfredo Jaconi,Juventude,0.0,3.0,Athletico-PR
2.0,Ilha do Retiro,Sport,0.0,1.0,Atlético-MG
2.0,Arena do Grêmio,Grêmio,2.0,2.0,Flamengo
3.0,Allianz Parque,Palmeiras,1.0,1.0,Corinthians
3.0,Vila Belmiro,Santos,0.0,0.0,Juventude
3.0,Maracanã,Flamengo,2.0,0.0,América-MG
3.0,Mineirão,Atlético-MG,1.0,0.0,São Paulo
3.0,Arena do Grêmio,Grêmio,0.0,1.0,Athletico-PR
3.0,Pituaçu,Bahia,0.0,1.0,Internacional
3.0,Castelão (CE),Fortaleza,1.0,0.0,Sport
3.0,Nabi Abi Chedid,Bragantino,2.0,2.0,Fluminense
3.0,Arena Condá,Chapecoense,0.0,0.0,Ceará
3.0,Arena Pantanal,Cuiabá,2.0,1.0,Atlético-GO
4.0,Morumbi,São Paulo,1.0,1.0,Chapecoense
4.0,Beira-Rio,Internacional,0.0,1.0,Atlético-MG
4.0,Neo Química Arena,Corinthians,1.0,2.0,Bragantino
4.0,Alfredo Jaconi,Juventude,0.0,3.0,Palmeiras
4.0,Castelão (CE),Ceará,1.0,2.0,Bahia
4.0,Independência,América-MG,0.0,0.0,Cuiabá
4.0,Maracanã,Fluminense,1.0,0.0,Santos
4.0,Ilha do Retiro,Sport,1.0,0.0,Grêmio
4.0,Antônio Accioly,Atlético-GO,0.0,0.0,Fortaleza
4.0,Ligga Arena,Athletico-PR,2.0,2.0,Flamengo
5.0,Maracanã,Flamengo,2.0,3.0,Bragantino
5.0,Allianz Parque,Palmeiras,2.0,1.0,América-MG
5.0,Beira-Rio,Internacional,1.0,1.0,Ceará
5.0,Pituaçu,Bahia,0.0,0.0,Corinthians
5.0,Vila Belmiro,Santos,2.0,0.0,São Paulo
5.0,Castelão (CE),Fortaleza,1.0,1.0,Fluminense
5.0,Ligga Arena,Athletico-PR,2.0,1.0,Atlético-GO
5.0,Alfredo Jaconi,Juventude,1.0,0.0,Sport
5.0,Mineirão,Atlético-MG,1.0,1.0,Chapecoense
5.0,Arena Pantanal,Cuiabá,0.0,1.0,Grêmio
6.0,Maracanã,Flamengo,2.0,1.0,Fortaleza
6.0,Morumbi,São Paulo,2.0,2.0,Cuiabá
6.0,Nabi Abi Chedid,Bragantino,3.0,1.0,Palmeiras
6.0,Antônio Accioly,Atlético-GO,1.0,0.0,Fluminense
6.0,Independência,América-MG,1.0,1.0,Juventude
6.0,Neo Química Arena,Corinthians,2.0,1.0,Sport
6.0,Castelão (CE),Ceará,2.0,1.0,Atlético-MG
6.0,Arena Condá,Chapecoense,1.0,2.0,Internacional
6.0,Arena do Grêmio,Grêmio,2.0,2.0,Santos
6.0,Pituaçu,Bahia,2.0,1.0,Athletico-PR
7.0,Alfredo Jaconi,Juventude,1.0,0.0,Flamengo
7.0,São Januário,Fluminense,1.0,1.0,Corinthians
7.0,Allianz Parque,Palmeiras,3.0,2.0,Bahia
7.0,Arena do Grêmio,Grêmio,0.0,0.0,Fortaleza
7.0,Ligga Arena,Athletico-PR,2.0,2.0,Chapecoense
7.0,Vila Belmiro,Santos,2.0,0.0,Atlético-MG
7.0,Independência,América-MG,1.0,1.0,Internacional
7.0,Castelão (CE),Ceará,1.0,1.0,São Paulo
7.0,Ilha do Retiro,Sport,0.0,0.0,Cuiabá
7.0,Antônio Accioly,Atlético-GO,0.0,1.0,Bragantino
8.0,Raulino de Oliveira,Fluminense,1.0,4.0,Athletico-PR
8.0,Castelão (CE),Fortaleza,3.0,2.0,Chapecoense
