round,stadium,home_team,home_score,away_score,away_team
1,Maracanã,Fluminense,0,0,Santos
1,Alfredo Jaconi,Juventude,2,2,RB Bragantino
1,Morumbi,São Paulo,4,0,Paranaense
1,Ressacada,Avaí,1,0,América MG
1,Castelão (CE),Fortaleza,0,1,Cuiabá
1,Antônio Accioly,Atlético GO,1,1,Flamengo
1,Mineirão,Atl. Mineiro,2,0,Internacional
1,Couto Pereira,Coritiba,3,0,Goiás
1,Allianz Parque,Palmeiras,2,3,Ceará
1,Nilton Santos (Engenhão),Botafogo,1,3,Corinthians
2,Castelão (CE),Ceará,1,3,Botafogo
2,Beira-Rio,Internacional,2,1,Fortaleza
2,Ligga Arena,Paranaense,0,1,Atl. Mineiro
2,Maracanã,Flamengo,3,1,São Paulo
2,Nabi Abi Chedid,RB Bragantino,4,0,Atlético GO
2,Arena Pantanal,Cuiabá,0,1,Fluminense
2,Independência,América MG,4,1,Juventude
2,Neo Química Arena,Corinthians,3,0,Avaí
2,Hailé Pinheiro (Serrinha),Goiás,1,1,Palmeiras
2,Vila Belmiro,Santos,2,1,Coritiba
3,Nabi Abi Chedid,RB Bragantino,1,1,São Paulo
3,Castelão (CE),Fortaleza,0,1,Ceará
3,Ressacada,Avaí,3,2,Goiás
3,Antônio Accioly,Atlético GO,1,1,Botafogo
3,Alfredo Jaconi,Juventude,0,1,Cuiabá
3,Vila Belmiro,Santos,3,0,América MG
3,Independência,Atl. Mineiro,2,2,Coritiba
3,Maracanã,Fluminense,0,1,Internacional
3,Ligga Arena,Paranaense,1,0,Flamengo
3,Arena Barueri,Palmeiras,3,0,Corinthians
4,Beira-Rio,Internacional,0,0,Avaí
4,Couto Pereira,Coritiba,3,2,Fluminense
4,Maracanã,Flamengo,0,0,Palmeiras
4,Neo Química Arena,Corinthians,1,0,Fortaleza
4,Nilton Santos (Engenhão),Botafogo,1,1,Juventude
4,Arena Pantanal,Cuiabá,1,1,Atlético GO
4,Hailé Pinheiro (Serrinha),Goiás,2,2,Atl. Mineiro
4,Independência,América MG,1,0,Paranaense
4,Castelão (CE),Ceará,0,1,RB Bragantino
4,Morumbi,São Paulo,2,1,Santos
5,Ressacada,Avaí,2,1,Coritiba
5,Alfredo Jaconi,Juventude,1,1,Internacional
5,Castelão (CE),Fortaleza,1,1,São Paulo
5,Vila Belmiro,Santos,4,1,Cuiabá
5,Nabi Abi Chedid,RB Bragantino,0,1,Corinthians
5,Antônio Accioly,Atlético GO,0,1,Goiás
5,Mané Garrincha,Flamengo,0,1,Botafogo
5,Ligga Arena,Paranaense,1,0,Ceará
5,Independência,Atl. Mineiro,1,2,América MG
5,Allianz Parque,Palmeiras,1,1,Fluminense
6,Allianz Parque,Palmeiras,2,0,RB Bragantino
