round,stadium,home_team,home_score,away_score,away_team
1.0,Morumbi,São Paulo,2.0,0.0,Botafogo
1.0,Independência,Atlético-MG,2.0,1.0,Avaí
1.0,Arena Condá,Chapecoense,2.0,0.0,Internacional
1.0,Maracanã,Flamengo,3.0,1.0,Cruzeiro
1.0,Arena do Grêmio,Grêmio,1.0,2.0,Santos
1.0,Castelão (CE),Ceará,4.0,0.0,CSA
1.0,Itaipava Arena Fonte Nova,Bahia,3.0,2.0,Corinthians
1.0,Ligga Arena,Athletico-PR,4.0,1.0,Vasco
1.0,Allianz Parque,Palmeiras,4.0,0.0,Fortaleza
1.0,Maracanã,Fluminense,0.0,1.0,Goiás
2.0,Beira-Rio,Internacional,2.0,1.0,Flamengo
2.0,Neo Química Arena,Corinthians,1.0,0.0,Chapecoense
2.0,Rei Pelé,CSA,1.0,1.0,Palmeiras
2.0,Mineirão,Cruzeiro,1.0,0.0,Ceará
2.0,Ressacada,Avaí,1.0,1.0,Grêmio
2.0,Castelão (CE),Fortaleza,2.0,1.0,Athletico-PR
2.0,São Januário,Vasco,1.0,2.0,Atlético-MG
2.0,Serra Dourada,Goiás,1.0,2.0,São Paulo
2.0,Vila Belmiro,Santos,2.0,1.0,Fluminense
2.0,Nilton Santos (Engenhão),Botafogo,3.0,2.0,Bahia
3.0,Allianz Parque,Palmeiras,1.0,0.0,Internacional
3.0,Arena da Amazônia,Vasco,1.0,1.0,Corinthians
3.0,Castelão (CE),Ceará,1.0,2.0,Atlético-MG
3.0,Arena Condá,Chapecoense,1.0,1.0,Athletico-PR
3.0,Mineirão,Cruzeiro,2.0,1.0,Goiás
3.0,Morumbi,São Paulo,1.0,1.0,Flamengo
3.0,Nilton Santos (Engenhão),Botafogo,1.0,0.0,Fortaleza
3.0,Rei Pelé,CSA,0.0,0.0,Santos
3.0,Arena do Grêmio,Grêmio,4.0,5.0,Fluminense
3.0,Itaipava Arena Fonte Nova,Bahia,1.0,0.0,Avaí
4.0,Maracanã,Fluminense,0.0,1.0,Botafogo
4.0,Neo Química Arena,Corinthians,0.0,0.0,Grêmio
4.0,Serra Dourada,Goiás,2.0,1.0,Ceará
4.0,Maracanã,Flamengo,2.0,1.0,Chapecoense
4.0,Beira-Rio,Internacional,3.0,1.0,Cruzeiro
4.0,Mineirão,Atlético-MG,0.0,2.0,Palmeiras
4.0,Pacaembu,Santos,3.0,0.0,Vasco
4.0,Castelão (CE),Fortaleza,0.0,1.0,São Paulo
4.0,Ressacada,Avaí,0.0,0.0,CSA
4.0,Ligga Arena,Athletico-PR,1.0,0.0,Bahia
5.0,Maracanã,Fluminense,4.0,1.0,Cruzeiro
5.0,Independência,Atlético-MG,2.0,1.0,Flamengo
5.0,Pacaembu,Palmeiras,4.0,0.0,Santos
5.0,Morumbi,São Paulo,0.0,0.0,Bahia
5.0,Beira-Rio,Internacional,2.0,0.0,CSA
5.0,Arena Condá,Chapecoense,1.0,3.0,Fortaleza
5.0,Serra Dourada,Goiás,1.0,0.0,Botafogo
5.0,Ligga Arena,Athletico-PR,0.0,2.0,Corinthians
5.0,Castelão (CE),Ceará,2.0,1.0,Grêmio
5.0,São Januário,Vasco,1.0,1.0,Avaí
6.0,Mané Garrincha,Botafogo,0.0,1.0,Palmeiras
6.0,Arena do Grêmio,Grêmio,1.0,0.0,Atlético-MG
6.0,Vila Belmiro,Santos,0.0,0.0,Internacional
6.0,Maracanã,Flamengo,3.0,2.0,Athletico-PR
6.0,Independência,Cruzeiro,1.0,2.0,Chapecoense
6.0,Castelão (CE),Fortaleza,1.0,1.0,Vasco
6.0,Neo Química Arena,Corinthians,1.0,0.0,São Paulo
6.0,Itaipava Arena Fonte Nova,Bahia,3.0,2.0,Fluminense
6.0,Ressacada,Avaí,1.0,2.0,Ceará
6.0,Rei Pelé,CSA,1.0,0.0,Goiás
7.0,Nilton Santos (Engenhão),Flamengo,2.0,0.0,Fortaleza
7.0,Pituaçu,Bahia,1.0,0.0,Grêmio
7.0,Nilton Santos (Engenhão),Botafogo,1.0,0.0,Vasco
