round,stadium,home_team,home_score,away_score,away_team
1.0,Caio Martins,Botafogo,1.0,4.0,Goiás
1.0,Orlando Scarpelli,Figueirense,1.0,0.0,Internacional
1.0,Anacleto Campanella,São Caetano,1.0,0.0,Vitória
1.0,Ipatingão,Cruzeiro,2.0,1.0,Juventude
1.0,Palestra Itália,Palmeiras,0.0,0.0,Atlético-MG
1.0,Olímpico,Grêmio,0.0,0.0,Flamengo
1.0,Moisés Lucarelli,Ponte Preta,3.0,2.0,Corinthians
1.0,Pinheirão (PR),Paraná,3.0,2.0,Santos
1.0,Couto Pereira,Coritiba,1.0,0.0,Guarani
1.0,São Januário,Vasco,0.0,1.0,Criciúma
1.0,Mangueirão,Paysandu,3.0,3.0,Fluminense
1.0,Morumbi,São Paulo,1.0,0.0,Athletico-PR
2.0,Raulino de Oliveira,Flamengo,0.0,0.0,Ponte Preta
2.0,Serra Dourada,Goiás,2.0,2.0,Cruzeiro
2.0,Alfredo Jaconi,Juventude,1.0,1.0,Grêmio
2.0,Beira-Rio,Internacional,1.0,0.0,Palmeiras
2.0,Mineirão,Atlético-MG,1.0,1.0,Vasco
2.0,Maracanã,Fluminense,1.0,1.0,Coritiba
2.0,Pacaembu,Corinthians,2.0,1.0,Paysandu
2.0,Brinco de Ouro,Guarani,1.0,1.0,São Caetano
2.0,Ligga Arena,Athletico-PR,0.0,3.0,Figueirense
2.0,Barradão,Vitória,6.0,1.0,Paraná
2.0,Heriberto Hülse,Criciúma,1.0,1.0,São Paulo
2.0,Vila Belmiro,Santos,2.0,0.0,Botafogo
3.0,Caio Martins,Botafogo,2.0,2.0,Atlético-MG
3.0,Couto Pereira,Coritiba,1.0,1.0,Internacional
3.0,Independência,Cruzeiro,2.0,2.0,Criciúma
3.0,Mangueirão,Paysandu,0.0,3.0,Athletico-PR
3.0,Moisés Lucarelli,Ponte Preta,2.0,0.0,Goiás
3.0,Orlando Scarpelli,Figueirense,2.0,1.0,Santos
3.0,Olímpico,Grêmio,4.0,0.0,Corinthians
3.0,Morumbi,São Paulo,1.0,0.0,Fluminense
3.0,Pinheirão (PR),Paraná,2.0,1.0,Flamengo
3.0,São Januário,Vasco,0.0,1.0,Guarani
3.0,Palestra Itália,Palmeiras,2.0,2.0,Vitória
3.0,Anacleto Campanella,São Caetano,1.0,0.0,Juventude
