round,stadium,home_team,home_score,away_score,away_team
1.0,Maracanã,Fluminense,3.0,0.0,Figueirense
1.0,Beira-Rio,Internacional,1.0,0.0,Vitória
1.0,Arena Condá,Chapecoense,0.0,0.0,Coritiba
1.0,Morumbi,São Paulo,3.0,0.0,Botafogo
1.0,Orlando Scarpelli,Athletico-PR,1.0,0.0,Grêmio
1.0,Parque do Sabiá,Atlético-MG,0.0,0.0,Corinthians
1.0,Itaipava Arena Fonte Nova,Bahia,1.0,2.0,Cruzeiro
1.0,Mané Garrincha,Flamengo,0.0,0.0,Goiás
1.0,Vila Belmiro,Santos,1.0,1.0,Sport
1.0,Heriberto Hülse,Criciúma,1.0,2.0,Palmeiras
2.0,Couto Pereira,Coritiba,0.0,0.0,Santos
2.0,Pacaembu,Palmeiras,0.0,1.0,Fluminense
2.0,Maracanã,Botafogo,2.0,2.0,Internacional
2.0,Pacaembu,Corinthians,2.0,0.0,Flamengo
2.0,Parque do Sabiá,Cruzeiro,1.0,1.0,São Paulo
2.0,Pituaçu,Vitória,2.0,2.0,Athletico-PR
2.0,Ilha do Retiro,Sport,2.0,1.0,Chapecoense
2.0,Arena do Grêmio,Grêmio,2.0,1.0,Atlético-MG
2.0,Arena Barueri,Figueirense,0.0,2.0,Bahia
2.0,JK (Itumbiara),Goiás,1.0,0.0,Criciúma
3.0,Pacaembu,São Paulo,2.0,2.0,Coritiba
3.0,Vila Belmiro,Santos,0.0,0.0,Grêmio
3.0,Mané Garrincha,Athletico-PR,2.0,3.0,Cruzeiro
3.0,Maracanã,Fluminense,1.0,2.0,Vitória
3.0,Maracanã,Flamengo,4.0,2.0,Palmeiras
3.0,Itaipava Arena Fonte Nova,Bahia,1.0,0.0,Botafogo
3.0,Beira-Rio,Internacional,2.0,1.0,Sport
3.0,Heriberto Hülse,Criciúma,1.0,0.0,Figueirense
3.0,Independência,Atlético-MG,0.0,1.0,Goiás
3.0,Arena Condá,Chapecoense,0.0,1.0,Corinthians
4.0,Pacaembu,Palmeiras,2.0,0.0,Goiás
4.0,Beira-Rio,Internacional,2.0,1.0,Athletico-PR
4.0,Maracanã,Botafogo,6.0,0.0,Criciúma
4.0,Maracanã,Fluminense,2.0,0.0,Flamengo
4.0,Arena Barueri,São Paulo,1.0,1.0,Corinthians
4.0,Independência,Atlético-MG,2.0,1.0,Cruzeiro
4.0,Arena Condá,Chapecoense,1.0,2.0,Grêmio
4.0,Couto Pereira,Coritiba,0.0,1.0,Sport
4.0,Itaipava Arena Fonte Nova,Bahia,1.0,1.0,Vitória
4.0,Estádio do Café,Figueirense,0.0,2.0,Santos
5.0,Municipal Juiz de Fora,Goiás,2.0,0.0,Botafogo
5.0,Mineirão,Cruzeiro,3.0,2.0,Coritiba
5.0,Maracanã,Flamengo,0.0,2.0,São Paulo
5.0,Neo Química Arena,Corinthians,0.0,1.0,Figueirense
5.0,Willie Davids,Athletico-PR,1.0,1.0,Chapecoense
5.0,Arena do Grêmio,Grêmio,1.0,0.0,Fluminense
5.0,Arena Pantanal,Santos,1.0,2.0,Atlético-MG
5.0,Pituaçu,Vitória,0.0,1.0,Palmeiras
5.0,Heriberto Hülse,Criciúma,0.0,0.0,Internacional
5.0,Ilha do Retiro,Sport,1.0,0.0,Bahia
6.0,Moacyrzão,Flamengo,1.0,1.0,Bahia
6.0,Couto Pereira,Coritiba,1.0,1.0,Internacional
6.0,Mineirão,Cruzeiro,2.0,0.0,Sport
6.0,Heriberto Hülse,Criciúma,1.0,0.0,Chapecoense
6.0,Maracanã,Fluminense,5.0,2.0,São Paulo
6.0,Canindé,Corinthians,1.0,1.0,Athletico-PR
6.0,Alfredo Jaconi,Grêmio,2.0,1.0,Botafogo
6.0,Fonte Luminosa,Palmeiras,1.0,0.0,Figueirense
6.0,Serra Dourada,Goiás,2.0,2.0,Santos
6.0,Joia da Princesa,Vitória,2.0,3.0,Atlético-MG
7.0,Arena Barueri,Bahia,0.0,1.0,Fluminense
7.0,Morumbi,São Paulo,1.0,0.0,Grêmio
7.0,Ilha do Retiro,Sport,1.0,4.0,Corinthians
7.0,Morumbi,Santos,0.0,0.0,Flamengo
7.0,Willie Davids,Athletico-PR,2.0,0.0,Coritiba
7.0,Orlando Scarpelli,Figueirense,0.0,1.0,Goiás
7.0,Moacyrzão,Botafogo,1.0,1.0,Vitória
7.0,Ipatingão,Atlético-MG,0.0,0.0,Criciúma
7.0,Centenário,Internacional,1.0,3.0,Cruzeiro
7.0,Arena Condá,Chapecoense,2.0,0.0,Palmeiras
8.0,Ilha do Retiro,Sport,0.0,0.0,Grêmio
8.0,Prudentão,Palmeiras,0.0,2.0,Botafogo
8.0,Heriberto Hülse,Criciúma,1.0,0.0,Coritiba
8.0,Centenário,Internacional,2.0,0.0,Chapecoense
8.0,Serra Dourada,Goiás,0.0,0.0,Vitória
8.0,Canindé,Corinthians,1.0,0.0,Cruzeiro
8.0,Parque do Sabiá,Athletico-PR,2.0,2.0,São Paulo
8.0,Ipatingão,Atlético-MG,2.0,0.0,Fluminense
8.0,Morumbi,Flamengo,1.0,1.0,Figueirense
8.0,Joia da Princesa,Bahia,0.0,2.0,Santos
9.0,Morumbi,São Paulo,2.0,1.0,Atlético-MG
9.0,Durival Britto,Coritiba,3.0,0.0,Goiás
9.0,Joia da Princesa,Vitória,0.0,1.0,Sport
