round,stadium,home_team,home_score,away_score,away_team
1.0,Nilton Santos (Engenhão),Botafogo,3.0,3.0,Santos
1.0,Serra Dourada,Atlético-GO,0.0,0.0,Grêmio
1.0,Palestra Itália,Palmeiras,1.0,0.0,Vitória
1.0,Maracanã,Flamengo,1.0,1.0,São Paulo
1.0,Mineirão,Atlético-MG,2.0,1.0,Vasco
1.0,Beira-Rio,Internacional,1.0,2.0,Cruzeiro
1.0,Pacaembu,Corinthians,2.0,1.0,Athletico-PR
1.0,Castelão (CE),Ceará,1.0,0.0,Fluminense
1.0,Brinco de Ouro,Guarani,1.0,0.0,Goiás
1.0,Ressacada,Avaí,6.0,1.0,Prudente
2.0,Maracanã,Fluminense,1.0,0.0,Atlético-GO
2.0,Prudentão,Prudente,4.0,0.0,Atlético-MG
2.0,Barradão,Vitória,1.0,1.0,Flamengo
2.0,Morumbi,São Paulo,1.0,2.0,Botafogo
2.0,Olímpico,Grêmio,1.0,2.0,Corinthians
2.0,Serra Dourada,Goiás,2.0,3.0,Internacional
2.0,Vila Belmiro,Santos,1.0,1.0,Ceará
2.0,São Januário,Vasco,0.0,0.0,Palmeiras
2.0,Mineirão,Cruzeiro,2.0,2.0,Avaí
2.0,Ligga Arena,Athletico-PR,2.0,2.0,Guarani
3.0,Nilton Santos (Engenhão),Botafogo,3.0,0.0,Goiás
3.0,Serra Dourada,Atlético-GO,1.0,2.0,Santos
3.0,Palestra Itália,Palmeiras,4.0,2.0,Grêmio
3.0,Pacaembu,Corinthians,1.0,0.0,Fluminense
3.0,Mineirão,Atlético-MG,3.0,1.0,Athletico-PR
3.0,Beira-Rio,Internacional,0.0,2.0,São Paulo
3.0,Castelão (CE),Ceará,1.0,0.0,Vitória
3.0,Ressacada,Avaí,2.0,0.0,Vasco
3.0,Maracanã,Flamengo,3.0,1.0,Prudente
3.0,Brinco de Ouro,Guarani,2.0,2.0,Cruzeiro
4.0,Barradão,Vitória,4.0,3.0,Atlético-MG
4.0,Olímpico,Grêmio,3.0,0.0,Avaí
4.0,Maracanã,Fluminense,2.0,1.0,Flamengo
4.0,Morumbi,São Paulo,1.0,0.0,Palmeiras
4.0,Prudentão,Prudente,2.0,2.0,Corinthians
4.0,Mineirão,Cruzeiro,1.0,0.0,Botafogo
4.0,Vila Belmiro,Santos,3.0,1.0,Guarani
4.0,São Januário,Vasco,3.0,2.0,Internacional
4.0,Ligga Arena,Athletico-PR,2.0,1.0,Atlético-GO
4.0,Serra Dourada,Goiás,0.0,0.0,Ceará
5.0,Maracanã,Flamengo,1.0,1.0,Grêmio
5.0,Arena Barueri,Palmeiras,0.0,0.0,Prudente
5.0,Ressacada,Avaí,0.0,0.0,Vitória
5.0,Pacaembu,Corinthians,4.0,2.0,Santos
5.0,Brinco de Ouro,Guarani,0.0,0.0,São Paulo
5.0,Mineirão,Atlético-MG,1.0,3.0,Fluminense
5.0,Beira-Rio,Internacional,4.0,1.0,Athletico-PR
5.0,Castelão (CE),Ceará,1.0,0.0,Cruzeiro
5.0,Serra Dourada,Atlético-GO,1.0,3.0,Goiás
5.0,Nilton Santos (Engenhão),Botafogo,1.0,1.0,Vasco
6.0,Ligga Arena,Athletico-PR,3.0,2.0,Botafogo
6.0,Maracanã,Fluminense,2.0,1.0,Vitória
6.0,Prudentão,Prudente,1.0,0.0,Atlético-GO
6.0,Castelão (CE),Ceará,2.0,0.0,Avaí
6.0,Pacaembu,Palmeiras,0.0,1.0,Flamengo
