round,stadium,home_team,home_score,away_score,away_team
1.0,Pacaembu,Palmeiras,1.0,1.0,Portuguesa
1.0,Ilha do Retiro,Sport,1.0,1.0,Flamengo
1.0,Orlando Scarpelli,Figueirense,2.0,1.0,Náutico
1.0,Nilton Santos (Engenhão),Botafogo,4.0,2.0,São Paulo
1.0,Pacaembu,Corinthians,0.0,1.0,Fluminense
1.0,Beira-Rio,Internacional,2.0,0.0,Coritiba
1.0,Moisés Lucarelli,Ponte Preta,0.0,1.0,Atlético-MG
1.0,São Januário,Vasco,2.0,1.0,Grêmio
1.0,Parque do Sabiá,Cruzeiro,0.0,0.0,Atlético-GO
1.0,Pituaçu,Bahia,0.0,0.0,Santos
2.0,Nilton Santos (Engenhão),Flamengo,3.0,3.0,Internacional
2.0,Canindé,Portuguesa,0.0,1.0,Vasco
2.0,Serra Dourada,Atlético-GO,1.0,1.0,Ponte Preta
2.0,Aflitos,Náutico,0.0,0.0,Cruzeiro
2.0,Vila Belmiro,Santos,0.0,0.0,Sport
2.0,Morumbi,São Paulo,1.0,0.0,Bahia
2.0,Independência,Atlético-MG,1.0,0.0,Corinthians
2.0,Couto Pereira,Coritiba,2.0,3.0,Botafogo
2.0,Nilton Santos (Engenhão),Fluminense,2.0,2.0,Figueirense
2.0,Olímpico,Grêmio,1.0,0.0,Palmeiras
3.0,Ilha do Retiro,Sport,2.0,1.0,Palmeiras
3.0,Serra Dourada,Atlético-GO,0.0,1.0,Grêmio
3.0,São Januário,Vasco,4.0,2.0,Náutico
3.0,Independência,Atlético-MG,1.0,1.0,Bahia
3.0,Couto Pereira,Coritiba,2.0,0.0,Portuguesa
3.0,Vila Belmiro,Santos,1.0,1.0,Fluminense
3.0,Beira-Rio,Internacional,1.0,0.0,São Paulo
3.0,Moisés Lucarelli,Ponte Preta,2.0,2.0,Flamengo
3.0,Nilton Santos (Engenhão),Botafogo,2.0,3.0,Cruzeiro
3.0,Pacaembu,Corinthians,1.0,1.0,Figueirense
4.0,Nilton Santos (Engenhão),Flamengo,3.0,1.0,Coritiba
4.0,Pacaembu,Palmeiras,0.0,1.0,Atlético-MG
4.0,Canindé,Portuguesa,2.0,0.0,Atlético-GO
4.0,Nilton Santos (Engenhão),Fluminense,0.0,0.0,Internacional
4.0,Olímpico,Grêmio,2.0,0.0,Corinthians
4.0,Pituaçu,Bahia,1.0,2.0,Vasco
4.0,Morumbi,São Paulo,1.0,0.0,Santos
4.0,Municipal de Varginha,Cruzeiro,1.0,0.0,Sport
