round,stadium,home_team,home_score,away_score,away_team
1.0,Maracanã,Flamengo,1.0,1.0,Atlético-MG
1.0,Neo Química Arena,Corinthians,1.0,1.0,Chapecoense
1.0,Maracanã,Fluminense,3.0,2.0,Santos
1.0,Allianz Parque,Palmeiras,4.0,0.0,Vasco
1.0,Mineirão,Cruzeiro,1.0,0.0,São Paulo
1.0,Itaipava Arena Fonte Nova,Bahia,6.0,2.0,Athletico-PR
1.0,Moisés Lucarelli,Ponte Preta,4.0,0.0,Sport
1.0,Ressacada,Avaí,0.0,0.0,Vitória
1.0,Arena do Grêmio,Grêmio,2.0,0.0,Botafogo
1.0,Couto Pereira,Coritiba,4.0,1.0,Atlético-GO
2.0,Vila Belmiro,Santos,1.0,0.0,Coritiba
2.0,Serra Dourada,Atlético-GO,0.0,3.0,Flamengo
2.0,Arena Condá,Chapecoense,1.0,0.0,Palmeiras
2.0,São Januário,Vasco,2.0,1.0,Bahia
2.0,Independência,Atlético-MG,1.0,2.0,Fluminense
2.0,Ligga Arena,Athletico-PR,0.0,2.0,Grêmio
2.0,Itaipava Arena Fonte Nova,Vitória,0.0,1.0,Corinthians
2.0,Nilton Santos (Engenhão),Botafogo,2.0,0.0,Ponte Preta
2.0,Ilha do Retiro,Sport,1.0,1.0,Cruzeiro
2.0,Morumbi,São Paulo,2.0,0.0,Avaí
3.0,São Januário,Vasco,3.0,2.0,Fluminense
3.0,Morumbi,São Paulo,2.0,0.0,Palmeiras
3.0,Itaipava Arena Fonte Nova,Vitória,0.0,1.0,Coritiba
3.0,Independência,Atlético-MG,2.0,2.0,Ponte Preta
3.0,Vila Belmiro,Santos,0.0,1.0,Cruzeiro
3.0,Ligga Arena,Athletico-PR,1.0,1.0,Flamengo
3.0,Serra Dourada,Atlético-GO,0.0,1.0,Corinthians
3.0,Ilha do Retiro,Sport,4.0,3.0,Grêmio
3.0,Nilton Santos (Engenhão),Botafogo,1.0,0.0,Bahia
3.0,Arena Condá,Chapecoense,2.0,0.0,Avaí
4.0,Couto Pereira,Coritiba,1.0,0.0,Athletico-PR
4.0,Maracanã,Fluminense,2.0,1.0,Vitória
4.0,Neo Química Arena,Corinthians,2.0,0.0,Santos
4.0,Raulino de Oliveira,Flamengo,0.0,0.0,Botafogo
4.0,Ressacada,Avaí,1.0,0.0,Sport
4.0,Allianz Parque,Palmeiras,0.0,0.0,Atlético-MG
4.0,Arena do Grêmio,Grêmio,2.0,0.0,Vasco
4.0,Moisés Lucarelli,Ponte Preta,1.0,0.0,São Paulo
4.0,Mineirão,Cruzeiro,0.0,2.0,Chapecoense
4.0,Itaipava Arena Fonte Nova,Bahia,3.0,0.0,Atlético-GO
5.0,Maracanã,Fluminense,1.0,1.0,Athletico-PR
5.0,Independência,Atlético-MG,1.0,0.0,Avaí
5.0,Couto Pereira,Coritiba,1.0,0.0,Palmeiras
5.0,Pacaembu,Santos,1.0,0.0,Botafogo
5.0,São Januário,Vasco,2.0,5.0,Corinthians
5.0,Ilha do Retiro,Sport,2.0,0.0,Flamengo
5.0,Morumbi,São Paulo,2.0,0.0,Vitória
5.0,Olímpico (GO),Atlético-GO,3.0,0.0,Ponte Preta
5.0,Arena Condá,Chapecoense,3.0,6.0,Grêmio
5.0,Itaipava Arena Fonte Nova,Bahia,1.0,0.0,Cruzeiro
6.0,Allianz Parque,Palmeiras,3.0,1.0,Fluminense
6.0,São Januário,Vasco,2.0,1.0,Sport
6.0,Nilton Santos (Engenhão),Botafogo,2.0,2.0,Coritiba
6.0,Neo Química Arena,Corinthians,3.0,2.0,São Paulo
6.0,Barradão,Vitória,2.0,0.0,Atlético-MG
6.0,Moisés Lucarelli,Ponte Preta,3.0,2.0,Chapecoense
6.0,Ressacada,Avaí,1.0,1.0,Flamengo
6.0,Mineirão,Cruzeiro,2.0,0.0,Atlético-GO
6.0,Ligga Arena,Athletico-PR,0.0,2.0,Santos
6.0,Arena do Grêmio,Grêmio,1.0,0.0,Bahia
7.0,Independência,Atlético-MG,0.0,1.0,Athletico-PR
7.0,Ilha do Retiro,Sport,0.0,0.0,São Paulo
7.0,Barradão,Vitória,2.0,2.0,Botafogo
7.0,Olímpico (GO),Atlético-GO,3.0,1.0,Avaí
7.0,Luso-Brasileiro,Flamengo,2.0,0.0,Ponte Preta
7.0,Vila Belmiro,Santos,1.0,0.0,Palmeiras
7.0,Neo Química Arena,Corinthians,1.0,0.0,Cruzeiro
7.0,Arena Condá,Chapecoense,2.0,1.0,Vasco
7.0,Couto Pereira,Coritiba,0.0,0.0,Bahia
7.0,Maracanã,Fluminense,0.0,2.0,Grêmio
8.0,Olímpico (GO),Atlético-GO,0.0,1.0,Athletico-PR
8.0,São Januário,Vasco,1.0,0.0,Avaí
8.0,Pacaembu,Santos,0.0,0.0,Ponte Preta
8.0,Couto Pereira,Coritiba,0.0,0.0,Corinthians
8.0,Maracanã,Fluminense,2.0,2.0,Flamengo
8.0,Morumbi,São Paulo,1.0,2.0,Atlético-MG
8.0,Itaipava Arena Fonte Nova,Bahia,2.0,4.0,Palmeiras
8.0,Arena Condá,Chapecoense,0.0,2.0,Botafogo
8.0,Ilha do Retiro,Sport,1.0,3.0,Vitória
8.0,Mineirão,Cruzeiro,3.0,3.0,Grêmio
9.0,Barradão,Vitória,0.0,2.0,Santos
9.0,Nilton Santos (Engenhão),Botafogo,3.0,1.0,Vasco
9.0,Allianz Parque,Palmeiras,1.0,0.0,Atlético-GO
9.0,Independência,Atlético-MG,2.0,2.0,Sport
9.0,Ligga Arena,Athletico-PR,1.0,0.0,São Paulo
9.0,Ressacada,Avaí,0.0,3.0,Fluminense
9.0,Neo Química Arena,Corinthians,3.0,0.0,Bahia
9.0,Moisés Lucarelli,Ponte Preta,1.0,0.0,Cruzeiro
9.0,Luso-Brasileiro,Flamengo,5.0,1.0,Chapecoense
9.0,Arena do Grêmio,Grêmio,2.0,0.0,Coritiba
10.0,Vila Belmiro,Santos,0.0,1.0,Sport
10.0,São Januário,Vasco,1.0,0.0,Atlético-GO
10.0,Morumbi,São Paulo,1.0,1.0,Fluminense
10.0,Mineirão,Cruzeiro,2.0,0.0,Coritiba
10.0,Ligga Arena,Athletico-PR,4.0,1.0,Vitória
10.0,Arena do Grêmio,Grêmio,0.0,1.0,Corinthians
10.0,Moisés Lucarelli,Ponte Preta,1.0,2.0,Palmeiras
10.0,Itaipava Arena Fonte Nova,Bahia,0.0,1.0,Flamengo
10.0,Arena Condá,Chapecoense,0.0,1.0,Atlético-MG
10.0,Nilton Santos (Engenhão),Botafogo,0.0,2.0,Avaí
11.0,Pacaembu,Palmeiras,1.0,0.0,Grêmio
11.0,Olímpico (GO),Atlético-GO,1.0,1.0,Santos
11.0,Luso-Brasileiro,Flamengo,2.0,0.0,São Paulo
11.0,Neo Química Arena,Corinthians,1.0,0.0,Botafogo
11.0,Independência,Atlético-MG,3.0,1.0,Cruzeiro
11.0,Ilha do Retiro,Sport,1.0,0.0,Athletico-PR
11.0,Barradão,Vitória,0.0,0.0,Bahia
11.0,Durival Britto,Coritiba,2.0,2.0,Vasco
11.0,Ressacada,Avaí,0.0,0.0,Ponte Preta
11.0,Giulite Coutinho,Fluminense,3.0,3.0,Chapecoense
12.0,Olímpico (GO),Atlético-GO,1.0,2.0,Vitória
12.0,São Januário,Vasco,0.0,1.0,Flamengo
12.0,Neo Química Arena,Corinthians,2.0,0.0,Ponte Preta
12.0,Arena Condá,Chapecoense,1.0,1.0,Athletico-PR
12.0,Mineirão,Cruzeiro,3.0,1.0,Palmeiras
12.0,Arena do Grêmio,Grêmio,0.0,2.0,Avaí
12.0,Itaipava Arena Fonte Nova,Bahia,1.0,1.0,Fluminense
12.0,Nilton Santos (Engenhão),Botafogo,1.0,1.0,Atlético-MG
12.0,Vila Belmiro,Santos,3.0,2.0,São Paulo
12.0,Couto Pereira,Coritiba,0.0,3.0,Sport
13.0,Independência,Atlético-MG,0.0,1.0,Santos
13.0,Moisés Lucarelli,Ponte Preta,0.0,3.0,Bahia
13.0,Maracanã,Fluminense,0.0,1.0,Botafogo
13.0,Allianz Parque,Palmeiras,0.0,2.0,Corinthians
13.0,Ligga Arena,Athletico-PR,0.0,2.0,Cruzeiro
13.0,Barradão,Vitória,1.0,4.0,Vasco
13.0,Luso-Brasileiro,Flamengo,0.0,1.0,Grêmio
13.0,Morumbi,São Paulo,2.0,2.0,Atlético-GO
13.0,Arena de Pernambuco,Sport,3.0,0.0,Chapecoense
13.0,Ressacada,Avaí,1.0,4.0,Coritiba
14.0,Neo Química Arena,Corinthians,2.0,2.0,Athletico-PR
14.0,Allianz Parque,Palmeiras,4.0,2.0,Vitória
14.0,Nilton Santos (Engenhão),Vasco,0.0,0.0,Santos
14.0,Mineirão,Cruzeiro,1.0,1.0,Flamengo
14.0,Arena do Grêmio,Grêmio,3.0,1.0,Ponte Preta
14.0,Olímpico (GO),Atlético-GO,1.0,2.0,Atlético-MG
14.0,Arena Condá,Chapecoense,2.0,0.0,São Paulo
14.0,Couto Pereira,Coritiba,1.0,2.0,Fluminense
14.0,Pituaçu,Bahia,1.0,1.0,Avaí
14.0,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Sport
15.0,Vila Belmiro,Santos,1.0,0.0,Chapecoense
