round,stadium,home_team,home_score,away_score,away_team
1.0,Brinco de Ouro,Guarani,4.0,2.0,Vasco
1.0,Ligga Arena,Athletico-PR,2.0,0.0,Grêmio
1.0,Alfredo Jaconi,Juventude,2.0,2.0,São Paulo
1.0,Mineirão,Cruzeiro,2.0,2.0,São Caetano
1.0,Maracanã,Flamengo,1.0,1.0,Coritiba
1.0,Heriberto Hülse,Criciúma,2.0,0.0,Fluminense
1.0,Beira-Rio,Internacional,1.0,1.0,Ponte Preta
1.0,Serra Dourada,Goiás,2.0,2.0,Paysandu
1.0,Castelão (CE),Fortaleza,0.0,0.0,Bahia
1.0,Barradão,Vitória,1.0,1.0,Figueirense
1.0,Pacaembu,Corinthians,0.0,3.0,Atlético-MG
1.0,Vila Belmiro,Santos,2.0,2.0,Paraná
2.0,Mineirão,Atlético-MG,0.0,0.0,Santos
2.0,Couto Pereira,Coritiba,0.0,1.0,Internacional
2.0,Maracanã,Fluminense,1.0,1.0,Fortaleza
2.0,Olímpico,Grêmio,3.0,1.0,Guarani
2.0,Itaipava Arena Fonte Nova,Bahia,1.0,2.0,Flamengo
2.0,Orlando Scarpelli,Figueirense,3.0,3.0,Corinthians
2.0,Mangueirão,Paysandu,1.0,2.0,Vitória
2.0,Moisés Lucarelli,Ponte Preta,1.0,0.0,Juventude
2.0,Anacleto Campanella,São Caetano,3.0,2.0,Criciúma
2.0,Pinheirão (PR),Paraná,3.0,0.0,Athletico-PR
2.0,São Januário,Vasco,6.0,4.0,Goiás
2.0,Morumbi,São Paulo,2.0,4.0,Cruzeiro
3.0,Beira-Rio,Internacional,2.0,0.0,Bahia
3.0,Ligga Arena,Athletico-PR,1.0,2.0,Atlético-MG
3.0,Vila Belmiro,Santos,2.0,0.0,Figueirense
3.0,Pacaembu,Corinthians,6.0,1.0,Paysandu
3.0,Barradão,Vitória,2.0,1.0,Vasco
3.0,Heriberto Hülse,Criciúma,1.0,1.0,São Paulo
3.0,Presidente Vargas (CE),Fortaleza,1.0,1.0,São Caetano
3.0,Alfredo Jaconi,Juventude,2.0,1.0,Coritiba
3.0,Brinco de Ouro,Guarani,2.0,0.0,Paraná
3.0,Serra Dourada,Goiás,1.0,1.0,Grêmio
3.0,Mineirão,Cruzeiro,3.0,0.0,Ponte Preta
3.0,Maracanã,Flamengo,4.0,1.0,Fluminense
4.0,Mangueirão,Paysandu,2.0,1.0,Santos
4.0,Itaipava Arena Fonte Nova,Bahia,3.0,1.0,Juventude
4.0,Olímpico,Grêmio,2.0,1.0,Vitória
4.0,Mineirão,Atlético-MG,3.0,2.0,Guarani
4.0,Orlando Scarpelli,Figueirense,1.0,1.0,Athletico-PR
4.0,Moisés Lucarelli,Ponte Preta,1.0,1.0,Criciúma
4.0,Couto Pereira,Coritiba,3.0,4.0,Cruzeiro
4.0,Anacleto Campanella,São Caetano,1.0,1.0,Flamengo
4.0,São Januário,Vasco,2.0,2.0,Corinthians
4.0,Maracanã,Fluminense,3.0,1.0,Internacional
4.0,Pinheirão (PR),Paraná,3.0,1.0,Goiás
4.0,Morumbi,São Paulo,3.0,1.0,Fortaleza
5.0,Anacleto Campanella,São Caetano,1.0,1.0,Grêmio
5.0,Itaipava Arena Fonte Nova,Bahia,2.0,4.0,Atlético-MG
5.0,Maracanã,Flamengo,0.0,2.0,Santos
5.0,Morumbi,São Paulo,3.0,1.0,Vasco
5.0,Beira-Rio,Internacional,2.0,1.0,Corinthians
5.0,Moisés Lucarelli,Ponte Preta,4.0,4.0,Paysandu
5.0,Presidente Vargas (CE),Fortaleza,1.0,0.0,Athletico-PR
5.0,Alfredo Jaconi,Juventude,1.0,1.0,Vitória
5.0,Heriberto Hülse,Criciúma,1.0,0.0,Guarani
5.0,Maracanã,Fluminense,0.0,0.0,Paraná
5.0,Mineirão,Cruzeiro,4.0,1.0,Goiás
5.0,Couto Pereira,Coritiba,1.0,0.0,Figueirense
6.0,Pinheirão (PR),Paraná,3.0,1.0,Bahia
6.0,Mineirão,Atlético-MG,1.0,2.0,Coritiba
6.0,Barradão,Vitória,0.0,3.0,Internacional
6.0,Brinco de Ouro,Guarani,1.0,1.0,Cruzeiro
6.0,Olímpico,Grêmio,0.0,1.0,Fluminense
