round,stadium,home_team,home_score,away_score,away_team
1.0,Morumbi,São Paulo,0.0,1.0,Grêmio
1.0,Barradão,Vitória,0.0,2.0,Cruzeiro
1.0,Aflitos,Náutico,2.0,1.0,Goiás
1.0,Nilton Santos (Engenhão),Botafogo,2.0,0.0,Sport
1.0,Couto Pereira,Coritiba,2.0,0.0,Palmeiras
1.0,Beira-Rio,Internacional,1.0,0.0,Vasco
1.0,Ipatingão,Ipatinga,0.0,1.0,Athletico-PR
1.0,Mineirão,Atlético-MG,0.0,0.0,Fluminense
1.0,Canindé,Portuguesa,5.0,5.0,Figueirense
1.0,Maracanã,Flamengo,3.0,1.0,Santos
2.0,Mineirão,Cruzeiro,1.0,0.0,Botafogo
2.0,Ilha do Retiro,Sport,0.0,0.0,Vitória
2.0,São Januário,Vasco,3.0,1.0,Portuguesa
2.0,Ligga Arena,Athletico-PR,1.0,1.0,São Paulo
2.0,Serra Dourada,Goiás,1.0,1.0,Atlético-MG
2.0,Maracanã,Fluminense,0.0,2.0,Náutico
2.0,Olímpico,Grêmio,0.0,0.0,Flamengo
2.0,Vila Belmiro,Santos,4.0,0.0,Ipatinga
2.0,Palestra Itália,Palmeiras,2.0,1.0,Internacional
2.0,Orlando Scarpelli,Figueirense,2.0,1.0,Coritiba
3.0,Olímpico,Grêmio,2.0,0.0,Náutico
3.0,Maracanã,Flamengo,2.0,1.0,Internacional
3.0,Barradão,Vitória,4.0,0.0,Figueirense
3.0,Mineirão,Cruzeiro,4.0,0.0,Santos
3.0,Morumbi,São Paulo,1.0,1.0,Coritiba
3.0,Ilha do Retiro,Sport,2.0,1.0,Fluminense
3.0,Serra Dourada,Goiás,1.0,1.0,Ipatinga
3.0,Ligga Arena,Athletico-PR,1.0,1.0,Atlético-MG
3.0,Nilton Santos (Engenhão),Botafogo,1.0,1.0,Vasco
3.0,Pacaembu,Portuguesa,1.0,1.0,Palmeiras
4.0,São Januário,Vasco,2.0,1.0,Grêmio
4.0,Beira-Rio,Internacional,1.0,1.0,Sport
4.0,Orlando Scarpelli,Figueirense,0.0,0.0,Goiás
4.0,Couto Pereira,Coritiba,1.0,1.0,Cruzeiro
4.0,Aflitos,Náutico,3.0,0.0,Botafogo
4.0,Vila Belmiro,Santos,0.0,0.0,São Paulo
4.0,Ipatingão,Ipatinga,2.0,0.0,Vitória
4.0,Mineirão,Atlético-MG,2.0,0.0,Portuguesa
4.0,Palestra Itália,Palmeiras,1.0,0.0,Athletico-PR
4.0,Maracanã,Fluminense,0.0,1.0,Flamengo
5.0,Morumbi,São Paulo,5.0,1.0,Atlético-MG
5.0,Maracanã,Flamengo,5.0,0.0,Figueirense
5.0,Ipatingão,Ipatinga,0.0,0.0,Náutico
5.0,Ligga Arena,Athletico-PR,5.0,0.0,Goiás
5.0,Olímpico,Grêmio,2.0,1.0,Fluminense
5.0,Ilha do Retiro,Sport,2.0,0.0,Palmeiras
5.0,Canindé,Portuguesa,3.0,1.0,Internacional
5.0,Barradão,Vitória,1.0,0.0,Santos
5.0,Mineirão,Cruzeiro,1.0,0.0,Vasco
5.0,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Coritiba
6.0,Mineirão,Atlético-MG,4.0,2.0,Ipatinga
6.0,Palestra Itália,Palmeiras,5.0,2.0,Cruzeiro
6.0,Maracanã,Fluminense,1.0,1.0,Santos
6.0,Orlando Scarpelli,Figueirense,3.0,1.0,Sport
6.0,Beira-Rio,Internacional,2.0,1.0,Botafogo
6.0,Maracanã,Flamengo,2.0,4.0,São Paulo
6.0,Serra Dourada,Goiás,0.0,3.0,Grêmio
6.0,Canindé,Portuguesa,1.0,0.0,Athletico-PR
6.0,Couto Pereira,Coritiba,0.0,0.0,Vitória
6.0,Arruda,Náutico,1.0,1.0,Vasco
7.0,Mineirão,Cruzeiro,3.0,0.0,Figueirense
7.0,Nilton Santos (Engenhão),Botafogo,0.0,1.0,Portuguesa
7.0,Morumbi,São Paulo,1.0,0.0,Sport
7.0,Couto Pereira,Coritiba,2.0,1.0,Fluminense
7.0,Barradão,Vitória,2.0,1.0,Internacional
7.0,São Januário,Vasco,0.0,2.0,Palmeiras
7.0,Ipatingão,Ipatinga,1.0,3.0,Flamengo
7.0,Olímpico,Grêmio,3.0,0.0,Athletico-PR
7.0,Arruda,Náutico,2.0,1.0,Atlético-MG
7.0,Vila Belmiro,Santos,0.0,4.0,Goiás
8.0,Canindé,Portuguesa,0.0,0.0,Santos
8.0,Barradão,Vitória,3.0,0.0,Goiás
8.0,São Januário,Vasco,4.0,2.0,Ipatinga
8.0,Ilha do Retiro,Sport,1.0,2.0,Flamengo
