round,stadium,home_team,home_score,away_score,away_team
1.0,Castelão (CE),Fortaleza,0.0,2.0,Athletico-PR
1.0,Couto Pereira,Coritiba,0.0,1.0,Internacional
1.0,Ilha do Retiro,Sport,3.0,2.0,Ceará
1.0,Maracanã,Flamengo,0.0,1.0,Atlético-MG
1.0,Vila Belmiro,Santos,1.0,1.0,Bragantino
1.0,Arena do Grêmio,Grêmio,1.0,0.0,Fluminense
1.0,Nilton Santos (Engenhão),Botafogo,1.0,2.0,Bahia
1.0,Neo Química Arena,Corinthians,0.0,0.0,Atlético-GO
1.0,Hailé Pinheiro (Serrinha),Goiás,0.0,3.0,São Paulo
1.0,Allianz Parque,Palmeiras,1.0,1.0,Vasco
2.0,Nabi Abi Chedid,Bragantino,1.0,1.0,Botafogo
2.0,Mineirão,Atlético-MG,3.0,2.0,Corinthians
2.0,Ligga Arena,Athletico-PR,2.0,1.0,Goiás
2.0,Pituaçu,Bahia,1.0,0.0,Coritiba
2.0,Olímpico (GO),Atlético-GO,3.0,0.0,Flamengo
2.0,Maracanã,Fluminense,1.0,1.0,Palmeiras
2.0,Castelão (CE),Ceará,1.0,1.0,Grêmio
2.0,Morumbi,São Paulo,1.0,0.0,Fortaleza
2.0,Beira-Rio,Internacional,2.0,0.0,Santos
2.0,São Januário,Vasco,2.0,0.0,Sport
3.0,Arena do Grêmio,Grêmio,0.0,0.0,Corinthians
3.0,Couto Pereira,Coritiba,0.0,1.0,Flamengo
3.0,Allianz Parque,Palmeiras,1.0,1.0,Goiás
3.0,Mineirão,Atlético-MG,2.0,0.0,Ceará
3.0,São Januário,Vasco,2.0,1.0,São Paulo
3.0,Pituaçu,Bahia,2.0,1.0,Bragantino
3.0,Maracanã,Fluminense,2.0,1.0,Internacional
3.0,Olímpico (GO),Atlético-GO,1.0,1.0,Sport
3.0,Castelão (CE),Fortaleza,0.0,0.0,Botafogo
3.0,Vila Belmiro,Santos,3.0,1.0,Athletico-PR
4.0,Maracanã,Flamengo,1.0,1.0,Grêmio
4.0,Nabi Abi Chedid,Bragantino,2.0,1.0,Fluminense
4.0,Ligga Arena,Athletico-PR,0.0,1.0,Palmeiras
4.0,Beira-Rio,Internacional,3.0,0.0,Atlético-GO
4.0,Hailé Pinheiro (Serrinha),Goiás,1.0,3.0,Fortaleza
4.0,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Atlético-MG
4.0,Neo Química Arena,Corinthians,3.0,1.0,Coritiba
4.0,Ilha do Retiro,Sport,0.0,1.0,Santos
4.0,Morumbi,São Paulo,1.0,1.0,Bahia
4.0,Castelão (CE),Ceará,0.0,3.0,Vasco
5.0,Ligga Arena,Athletico-PR,0.0,1.0,Fluminense
5.0,Beira-Rio,Internacional,1.0,0.0,Atlético-MG
5.0,Hailé Pinheiro (Serrinha),Goiás,2.0,0.0,Atlético-GO
5.0,Maracanã,Flamengo,1.0,1.0,Botafogo
5.0,São Januário,Vasco,0.0,0.0,Grêmio
5.0,Morumbi,Palmeiras,2.0,1.0,Santos
5.0,Nabi Abi Chedid,Bragantino,1.0,2.0,Coritiba
5.0,Ilha do Retiro,Sport,0.0,1.0,São Paulo
5.0,Castelão (CE),Ceará,2.0,0.0,Bahia
5.0,Neo Química Arena,Corinthians,1.0,1.0,Fortaleza
6.0,Nilton Santos (Engenhão),Botafogo,0.0,2.0,Internacional
6.0,Maracanã,Fluminense,2.0,1.0,Vasco
6.0,Pituaçu,Bahia,1.0,1.0,Palmeiras
